 ,c,a,s
0.000000,0.000000,0.000000,18.000000
0.100000,0.047309,0.194304,17.904960
0.200000,0.049794,0.204509,17.899968
0.300000,0.052408,0.215247,17.894716
0.400000,0.055159,0.226546,17.889190
0.500000,0.058053,0.238434,17.883375
0.600000,0.061099,0.250941,17.877257
0.700000,0.064303,0.264101,17.870820
0.800000,0.067674,0.277945,17.864049
0.900000,0.071220,0.292510,17.856925
1.000000,0.074950,0.307832,17.849430
1.100000,0.078875,0.323949,17.841547
1.200000,0.083003,0.340903,17.833254
1.300000,0.087344,0.358736,17.824531
1.400000,0.091911,0.377493,17.815357
1.500000,0.096714,0.397220,17.805708
1.600000,0.101766,0.417967,17.795560
1.700000,0.107078,0.439785,17.784888
1.800000,0.112664,0.462728,17.773666
1.900000,0.118538,0.486853,17.761866
2.000000,0.124714,0.512218,17.749458
2.100000,0.131207,0.538887,17.736414
2.200000,0.138034,0.566924,17.722700
2.300000,0.145209,0.596396,17.708285
2.400000,0.152752,0.627375,17.693132
2.500000,0.160680,0.659936,17.677205
2.600000,0.169012,0.694156,17.660467
2.700000,0.177767,0.730116,17.642878
2.800000,0.186967,0.767901,17.624396
2.900000,0.196633,0.807600,17.604978
3.000000,0.206788,0.849306,17.584579
3.100000,0.217454,0.893114,17.563151
3.200000,0.228657,0.939126,17.540645
3.300000,0.240422,0.987447,17.517010
3.400000,0.252775,1.038185,17.492192
3.500000,0.265745,1.091455,17.466136
3.600000,0.279361,1.147374,17.438784
3.700000,0.293651,1.206067,17.410076
3.800000,0.308648,1.267660,17.379949
3.900000,0.324383,1.332287,17.348338
4.000000,0.340890,1.400085,17.315176
4.100000,0.358204,1.471197,17.280393
4.200000,0.376362,1.545771,17.243917
4.300000,0.395399,1.623959,17.205672
4.400000,0.415354,1.705920,17.165582
4.500000,0.436269,1.791817,17.123568
4.600000,0.458182,1.881819,17.079545
4.700000,0.481137,1.976098,17.033430
4.800000,0.505177,2.074833,16.985136
4.900000,0.530346,2.178208,16.934572
5.000000,0.556691,2.286410,16.881647
5.100000,0.584258,2.399631,16.826267
5.200000,0.613095,2.518070,16.768335
5.300000,0.643252,2.641927,16.707753
5.400000,0.674777,2.771406,16.644421
5.500000,0.707722,2.906716,16.578237
5.600000,0.742138,3.048068,16.509097
5.700000,0.778078,3.195676,16.436898
5.800000,0.815593,3.349755,16.361533
5.900000,0.854736,3.510523,16.282896
6.000000,0.895561,3.678197,16.200882
6.100000,0.938120,3.852994,16.115383
6.200000,0.982467,4.035132,16.026294
6.300000,1.028653,4.224825,15.933509
6.400000,1.076731,4.422286,15.836925
6.500000,1.126750,4.627724,15.736439
6.600000,1.178761,4.841340,15.631953
6.700000,1.232812,5.063334,15.523369
6.800000,1.288948,5.293894,15.410595
6.900000,1.347214,5.533201,15.293543
7.000000,1.407652,5.781427,15.172128
7.100000,1.470299,6.038729,15.046274
7.200000,1.535192,6.305252,14.915909
